experiment_id,timestamp,seed,path_length,num_searchers,time_budget,sample_ratio,heterogeneous_terrain,key_position,success,key_found_by,total_time_used,sampling_time,execution_time,time_remaining,cells_searched,coverage_rate,time_efficiency,search_efficiency,selected_strategy,selection_confidence
mas_full_study_0045,2026-01-28T10:10:39.516294,1044,50,3,30.0,0.0,True,2,True,0,6.823593931820799,0.0,30.0,23.1764060681792,7,0.14,0.7725468689393067,0.23333333333333334,greedy_nearest,1.0
mas_full_study_0046,2026-01-28T10:10:39.517018,1045,50,3,30.0,0.0,True,14,True,2,23.22365282520982,0.0,30.0,6.776347174790178,27,0.54,0.22587823915967262,0.9,greedy_nearest,1.0
mas_full_study_0047,2026-01-28T10:10:39.517018,1046,50,3,30.0,0.0,True,2,True,0,2.8856903817527404,0.0,30.0,27.11430961824726,4,0.08,0.903810320608242,0.13333333333333333,greedy_nearest,1.0
mas_full_study_0048,2026-01-28T10:10:39.518037,1047,50,3,30.0,0.0,True,36,True,0,24.569467114716826,0.0,30.0,5.430532885283174,37,0.74,0.18101776284277246,1.2333333333333334,greedy_nearest,1.0
mas_full_study_0049,2026-01-28T10:10:39.519037,1048,50,3,30.0,0.0,True,4,True,2,15.447756071997091,0.0,30.0,14.552243928002909,12,0.24,0.485074797600097,0.4,greedy_nearest,1.0
mas_full_study_0050,2026-01-28T10:10:39.519037,1049,50,3,30.0,0.0,True,2,True,0,7.455390037258333,0.0,30.0,22.544609962741667,7,0.14,0.7514869987580556,0.23333333333333334,greedy_nearest,1.0
mas_full_study_0051,2026-01-28T10:10:39.520066,1000,50,3,30.0,0.05,True,24,True,1,14.389789929771224,1.5,28.5,15.610210070228776,26,0.52,0.5203403356742925,0.9122807017543859,greedy_nearest,1.0
mas_full_study_0052,2026-01-28T10:10:39.521061,1001,50,3,30.0,0.05,True,4,True,2,13.003212678410364,1.5,28.5,16.996787321589636,12,0.24,0.5665595773863212,0.42105263157894735,greedy_nearest,1.0
mas_full_study_0053,2026-01-28T10:10:39.522052,1002,50,3,30.0,0.05,True,45,True,2,12.389418992409169,1.5,28.5,17.61058100759083,15,0.3,0.5870193669196944,0.5263157894736842,greedy_nearest,1.0
mas_full_study_0054,2026-01-28T10:10:39.522052,1003,50,3,30.0,0.05,True,9,True,0,18.182316773256144,1.5,28.5,11.817683226743856,19,0.38,0.3939227742247952,0.6666666666666666,greedy_nearest,1.0
mas_full_study_0055,2026-01-28T10:10:39.523081,1004,50,3,30.0,0.05,True,35,True,1,29.899728636908936,1.5,28.5,0.1002713630910641,38,0.76,0.0033423787697021367,1.3333333333333333,greedy_nearest,1.0
mas_full_study_0056,2026-01-28T10:10:39.524598,1005,50,3,30.0,0.05,True,7,True,0,16.863874072214877,1.5,28.5,13.136125927785123,16,0.32,0.4378708642595041,0.5614035087719298,greedy_nearest,1.0
mas_full_study_0057,2026-01-28T10:10:39.525123,1006,50,3,30.0,0.05,True,34,True,2,20.254996788461792,1.5,28.5,9.745003211538208,48,0.96,0.32483344038460693,1.6842105263157894,greedy_nearest,1.0
mas_full_study_0058,2026-01-28T10:10:39.526724,1007,50,3,30.0,0.05,True,14,True,2,16.229498061806236,1.5,28.5,13.770501938193764,27,0.54,0.4590167312731255,0.9473684210526315,greedy_nearest,1.0
mas_full_study_0059,2026-01-28T10:10:39.527738,1008,50,3,30.0,0.05,True,28,False,,22.643635396250364,1.5,28.5,7.356364603749636,50,1.0,0.0,1.7543859649122806,greedy_nearest,1.0
mas_full_study_0060,2026-01-28T10:10:39.527738,1009,50,3,30.0,0.05,True,11,True,0,17.28169737557575,1.5,28.5,12.71830262442425,22,0.44,0.42394342081414166,0.7719298245614035,greedy_nearest,1.0
